c7,sc7
  ,  
  ,"늦은 저녁, 우리는 케이트의 교습소로 갔다."
케이트,어서와요. 무슨 일로 오셨나요?
  ,저녁쯤에 수업 받고 싶다고 전화했었던 사람인데요. 수업 받을 친구는 이 친구예요.
이안,안녕하세요.
케이트,아하 그 분이시구나. 그럼 시간을 한 번 맞춰볼까요? 언제 시간 괜찮으세요?
이안,제가 여러 가지 일들을 해서 바쁜데 혹시 금요일 오후 4시에 가능할까요? 
케이트,잠시만요… 음 아쉽게도 그 시간은 이미 다른 아이가 수업을 듣고 있네요.
이안,혹시 같이 들을 수는 없나요?
케이트,네…그 아이가 너무 어려서요. 
케이트,아니면 그 아이에게 수업 시간 변경이 가능한 지 한번 물어볼게요. 마침 저기 있어서요. 
케이트,에밀리! 잠깐 들어와보겠니?
에밀리,네!
케이트,여기 오빠가 금요일 오후 4시에 수업을 너무 듣고 싶다는데 혹시 바꿔줄 수 있을까?
에밀리,전 괜찮아요! 엄마한테 물어볼게요!
케이트,아이구 착해라. 선생님도 엄마한테 전화 드려 볼게.
에밀리,네! 오빠 수업 열심히 들어!
이안,고마워!
케이트,그럼 제가 어머님께 전화 드려보고 괜찮다고 하시면 다시 전화드릴게요.
이안,감사합니다.
  ,"케이트가 잠시 상담실을 비운 뒤, 우리는 잠시 에밀리와 대화를 나누었다."
이안,시간 바꾸는 거 괜찮다고 해줘서 고마워. 이거 줄게.
  ,이안은 주머니에서 사탕을 꺼내 에밀리에게 주었다.
에밀리,사탕이다! 고마워 오빠!
이안,맛있어?
에밀리,응!
  ,다행이네. 그런데 혹시 뭐 하나만 물어봐도 될까?
에밀리,응! 뭔데?
  ,(범행 날짜에도 수업을 했는지 물어봐야 할 것 같아.)
,('23일 오후 4시' 정답 선택 시)
  ,  
  ,23일 오후 4시에도 수업 했었어?
  ,에밀리는 23일이라는 숫자에 잠시 고민하더니 상담실의 탁상 달력을 보고 고개를 끄덕였다.
에밀리,응! 나 수업 뺀 적 한 번도 없어!
  ,기특하네. 대답 잘해줘서 고마워. 그럼 이제 가 봐야겠다. 다음에 또 보자.
에밀리,"응, 잘 가 언니. 오빠도 안녕! "
,
,(오답 선택지2 - '24일 오후 4시')
  ,24일 오후 4시에도 수업 했었어?  35
  ,에밀리는 24일이라는 숫자에 잠시 고민하더니 상담실의 탁상 달력을 보고 고개를 저었다.36
,
,(오답 선택지3 - '25일 오후 4시')
  ,25일 오후 4시에도 수업 했었어?37
  ,에밀리는 25일이라는 숫자에 잠시 고민하더니 상담실의 탁상 달력을 보고 고개를 저었다.38
,
,"(오답 선택지 2,3 각자 대사 후 공통진행)"
에밀리,응? 아니. 그날은 집에서 친구랑 같이 인형놀이 했어!
  ,아 정말? 재미있었겠네. 대답해줘서 고마워. 
  ,그럼 이제 가봐야겠다. 다음에 또 보자.
에밀리,"응, 잘 가 언니. 오빠도 안녕!"
  ,에밀리는 매주 금요일에 수업하는 건 아닌 건가? 
  ,그렇다는 건 사건 당일에 케이트는 4시에 수업이 없었다는 건데…
,
,"(선택지 1,2,3 공통 진행)"
  ,우리는 교습소를 나와 집에 도착했다.45
이안,이제 용의자들을 다 한 번씩 만나본 셈이네. 넌 어떻게 생각해? 누가 가장 의심스러워?
  ,의심스럽다기보다 아직 더 알아보고 싶은 사람이 있어. 
  ,우리가 아직 아무것도 확인하지 못한 릴리 부인에 대해 더 알아봐야 할 거 같아.
  ,우리는 내일의 첫 행선지를 릴리 부인의 꽃집으로 정하고 잠을 청했다.
  ,날이 밝아 우리는 릴리 부인의 꽃집으로 갔다.
  ,하지만 꽃집 안에 릴리 부인은 없고 늘 함께 일하던 점원으로 보이는 사람뿐이었다.
점원,어서오세요.
  ,안녕하세요. 혹시 사장님은 오늘 출근 안하시나요?
점원,사장님은 보통 오후 1시에 출근하세요.
  ,아 그랬군요. 제가 좀 여쭤볼 게 있어서요.
점원,음…그럼 전화번호를 알려드리는 게 나을 거 같네요. 
점원,요즘 사장님이 무슨 일이 있으신 지 일을 갑자기 쉬신다고 할 때가 많거든요.
  ,어딘가 아프시거나 그런 건가요? 
점원,사실 저도 잘 모르겠어요.
점원,이전에는 이러시는 일이 한번도 없었는데 갑자기 저번주 금요일부터 자주 그러시더라구요. 
  ,그 날 무슨 일이 있었던 걸까요?
점원,글쎄요…그 날 화분을 받으러 간 뒤부터 어딘가 멍해 보였어요. 
점원,그리고는 갑작스럽게 저에게 가게를 혼자 봐 달라고 한 뒤 돌아가셨어요. 
  ,그랬군요. 다음에 만나면 무슨 일인지 한 번 물어 봐야겠네요. 
  ,우리는 그 대화를 끝으로 꽃집을 나왔다.
이안,하필 딱 범행 날짜부터 달라진 게 아무래도 수상해. 그렇지 않아?
  ,…
이안,저기?
  ,아 미안. 생각을 좀 하느라…
  ,하지만 이것만으로는 릴리 부인이 범인이라고 단정 지을 수는 없어. 
  ,그래서 말인데 별장을 딱 한 번만 더 수색해보는 게 어떨까?
  ,혹시 범인이 별장으로 돌아와서 흔적을 남겼을 수도 있고 우리가 못 본 증거가 있을 수도 있으니까. 
  ,지금은…이 방법밖에 안 떠올라.
이안,어쩔 수 없네. 한 번 더 가보자.
  ,별장 얘기에 노아 주위의 공기가 조금 어두워지는 게 느껴졌다.
  ,나는 그런 노아의 손을 조심스럽게 잡았다. 
  ,집에 돌아가면 네가 좋아하는 소고기 스튜 만들어 줄게. 우리 조금만 더 힘내자.
  ,노아는 평소처럼 고개를 끄덕였다. 
