c5,sc5
  ,  
  ,다음날 나는 또다른 용의자인 아비게일 부인과 올리비아 부인을 만나기 위해 아비게일 부인의 집에서 열리는 뜨개질 클래스에 나갔다.
아비게일,어서와요. 어머니 생신에 맞춰 목도리 뜨는 법을 배우고 싶다고 했죠?
  ,네. 일주일 안에 가능할까요?
아비게일,그럼요. 오늘 하루만 배워도 금방 뜰 수 있을 거예요.
  ,나는 그들의 자리에서 최대한 가까운 곳에 자리 잡았고
  ,말할 여유가 생기자마자 자연스럽게 그 날의 이야기를 꺼냈다.
  ,그 날 행사 끝나고 급하게 가시느라 이야기도 잘 못 나눴네요. 급한 일 있으셨나 봐요?
아비게일,아 그 날 어머니 생신이셔서 레스토랑을 예약했었거든요.
아비게일,그런데 레스토랑이 어머니가 사시는 콜밸리 마을에 있다 보니 저녁 시간에 맞춰 가려면 급하게 출발해야 했어요.
  ,아 어머니께서 콜밸리 마을에 사시는군요.
  ,제 친구도 곧 콜밸리마을로 이사 가는데 혹시 그 레스토랑 이름 좀 알 수 있을까요?
  ,친구 만나는 날 근사한 저녁을 사주고 싶어서요. 워낙 평소에 고생을 많이 하는 애라.
아비게일,’비스트로수작’이에요.
아비게일,피시 앤 칩스로 유명한 곳이니까 친구랑 꼭 가서 드셔보세요!
  ,피시 앤 칩스라니 벌써 기대되네요.
올리비아,후… 피시 앤 칩스라니 얘기만 들어도 군침이 도네.
올리비아,요즘 다이어트하느라 샐러드만 먹다 보니 다른 음식이 너무 먹고 싶어.
  ,와 샐러드만 드신다니 정말 대단하세요.
  ,저는 초콜릿이나 케이크 같은 걸 너무 좋아해서 금방 포기하고 말텐데.
올리비아,사실 얼마전에 나도 케이크가 너무 먹고 싶어서 한번 먹었어.
올리비아,아 맞아 그날이었네!
올리비아,도서 행사 끝난 날 평소처럼 윈저드 산책로까지 조깅하고 나서 집으로 돌아가려는데
올리비아,아니 앞에 새로 생긴 케이크집이 떡하니 있지 뭐니!
올리비아,가뜩이나 도서 행사 끝난 뒤라 피곤하고 당이 떨어지니까
올리비아,‘에라 모르겠다’라는 마음으로 가게에 들어가서 가토 쇼콜라를 한 조각 먹었어.
올리비아,얼마나 달콤하던지!
  ,윈저드 산책로에 새로 생긴 케이크집이라… 꼭 한번 가봐야겠네요!
올리비아,그래서 아가씨는 행사 끝나고 뭘했어?
  ,네?
올리비아,도서 행사 끝나고 말이야.
올리비아,무슨 일 있었던 건 아니지? 행사 끝난 뒤로 아주 혼이 나간 사람 같았어.
  ,아 저는…
   ,저는 그냥 너무 피곤해서 집에 도착하자마자 티비를 보다가…
  ,(어?…그리고 또 뭘 했었지?)
  ,(기억이 안나…)
  ,차가운 바람이 느껴져 일어나보니 소파였어.
  ,(창문 그림 팝업 나옴)
  ,창문으로 보이는 밖은 이미 어두워져 있었고…
  ,(외투 그림 팝업)
  ,분명 행사에서 돌아왔을 때 문은 제대로 닫고 외투도 옷걸이에 잘 걸어뒀을텐데…
  ,깨어나 보니 문은 살짝 열려 있고 외투는 거실 바닥에 떨어져 있었어. 
  ,이상하다고 생각하면서도 다시 덮쳐오는 졸음에 문을 닫고 외투를 주워 방으로 들어가 잠을 청했어…
  ,도대체 그 날 무슨 일이 있었던 거지? 
올리비아,아가씨?
올리비아,그 날처럼 또 혼이 나간 얼굴을 하고 있네.
올리비아,정말 무슨 일 있는 건 아니지?
  ,아… 괜찮아요!
  ,그날 티비를 보다가 저녁 시간이 돼서 근처 슈퍼에서 장을 보고 오믈렛을 해먹었어요.
  ,그 후 우리는 조금 더 대화를 나누었지만 나는 내내 혼란스러운 마음에 어떤 말에도 집중할 수 없었다.
  ,그리고 그들과 헤어지고 거리로 나섰을 때였다.
  ,…머리가…아파….
  ,나는 서둘러 병원으로 가 평소 먹던 약을 처방받았다.
  ,괜찮아…그냥 우연일 거야…
  ,… 좀 쉬면 괜찮아질 거야…
  ,더 늦으면 노아와 이안이 걱정할 걸 생각해 나는 서둘러 집으로 향하는 버스를 탔다.
  ,버스 안에서 멍하니 창 밖을 바라보던 중 올리비아 부인이 말했던 산책로가 보였다.
  ,(공사 간판 팝업)
  ,공사중이잖아?
  ,올리비아 부인께서 분명 그날 여기서 조깅을 했다고 했는데…
  ,나는 늦은 저녁이 되어서야 집에 도착했다. 
이안,어서와. 조금 늦었네.
  ,응. 얘기가 길어져서.
  ,나는 방에 들어가 의자에 가방을 내려놓고 코트를 옷걸이에 걸었다.
이안,맞다. 오늘 아침에 부탁한 우유는 사왔어?
이안,…어? 약이잖아.
  ,나는 뒤에서 들려오는 이안의 말에 놀라 이안을 바라봤다.
  ,이안이 의자에 둔 가방을 열어보고 약 봉지를 발견한 것이다.
이안,어디 아파?
  ,어? 그냥 감기 기운이 좀 있는 거 같아서. 별 거 아니야.
  ,나는 이안의 손에 있는 약봉지를 가져가며 그렇게 말했다.
  ,이안은 잠시 의아한 표정을 짓더니 이내 걱정스러운 표정으로 “오늘은 약 먹고 푹 쉬어” 라고 말했다.
