c11,sc11
  ,다음 날 아침 우리는 곤히 잠든 노아 옆에 잠시 다녀오겠다는 쪽지를 남기고 경찰과 함께 꽃집으로 향했다.
경찰,릴리 부인 당신은 묵비권을 행사할 수 있으며…
  ,손목에 수갑이 채워진 릴리는 나를 차갑게 바라보며 말했다.
릴리,설마 당신이 탐정놀이를 하고 다닐 거라고는 생각 못했네요. 
  ,자신의 끔찍한 범행이 들키고서도 차분한 태도를 유지하는 릴리 부인의 모습은 
,더 이상 친절한 꽃집 주인이 아닌 두 아이를 잔인하게 살해한 살인마의 모습이었다. 
  ,나는 가끔 나의 소설에 이런 살인마들을 등장시키고는 했지만 그를 조우한 심정은 문장 몇 개로는 서술할 수 없는 그것이었다.
  ,이런 사람 때문에 그 예쁜 아이들이 생을 마감했다는 생각과 
,순수한 노아의 눈망울이 떠올라 내 안에는 분노 증오 두려움 슬픔 등의 감정들이 뒤섞여 소용돌이쳤다.
  ,왜 그 아이들을 죽였죠? 도대체…왜…
  ,나의 절규에도 릴리 부인은 평온한 표정을 유지하며 입을 열었다.
릴리,당신 같은 사람들은 제 생각 같은 건 말해도 이해 못해요. 
릴리,아이들은 참 순수하죠? 화분 하나 선물했다고 기뻐서 친구라고 생각하기도 하고…
릴리,자기가 죽을 걸 뻔히 알면서 도망칠 수 있는 순간에도 친구를 지키려 하기도 하고…
릴리,저는 그래서 아이들이 참 좋아요. 
  ,이제서야 모든 것이 이해가 갔다.
  ,노아는 도망칠 수 있었던 순간에도 아데린을 두고 갈 수 없어서 
  ,자신의 무게와 비슷한 아데린의 몸을 안간힘을 써 끌고 가다가 함께 캐비닛에 숨는 것밖에 할 수 없었을 것이다.
  ,나는 이번에는 그 작은 아이가 그 순간 느꼈을 두려움과 절망을 느끼고 있었다.
  ,나는 그 무력감에 다리에 힘이 풀려 주저 앉았다.
  ,주먹을 꽉 지며 우리의 대화를 듣던 이안은 주저 앉는 날 보고는 서둘러 나의 상태를 살폈고 
  ,흐릿해지는 시야에 경찰이 릴리 부인을 연행해가는 모습이 보였다.
