c10,sc10
  ,  
  ,이안이 찾아준 약봉지 덕분에 나는 스스로에 대한 의심을 버릴 수 있었다. 
  ,노아와 이안과 함께가 된 날부터 계속해서 날 괴롭혀온 말 못할 나의 내적 갈등들이 사라지면서 나의 상태는 빠른 속도로 호전되었다.
  ,그럼 결국 남은 용의자는 릴리뿐이었다. 
  ,나는 걱정스러워하는 이안과 노아를 안심시키고 그들과 함께 릴리의 꽃집으로 향했다. 
  ,다행히 오늘도 꽃집에는 점원 한 명뿐이었다.
점원,어서오세요. 저번에 오셨던 분이죠?
점원,어쩌죠… 안타깝게도 오늘도 릴리 부인은 출근하시지 않았어요. 
  ,괜찮아요. 그냥 저희끼리 잠시 꽃집을 둘러봐도 괜찮을까요?
점원,그럼요. 필요하신 게 있으시면 불러주세요.
  ,점원은 꽤 바쁜듯 우리에게 눈길을 주지 않고 빠르게 장부를 정리해나갔다.
  ,다행히도 점원이 바쁜가봐. 어서 꽃집을 샅샅이 조사해보자.
  ,<탐색 - 노멀엔딩 진엔딩 분기점>
,
,(노멀엔딩 루트 - 카운터 2회 탐색)
점원,저 손님! 화분은 손으로 만지지 말아주시고 식물들이랑 일정 거리 유지해주세요!
  ,한창 탐색을 하던 중 점원이 하던 일을 마쳤는지 화분들을 가까이에서 조사하던 우리에게 카운터에서 큰 소리로 주의를 주었다.
이안,아... 죄송합니다. 향기를 맡으려다 보니...
  ,이안은 들고 있던 화분을 제자리에 놓으며 점원에게 사과했다.
  ,점원은 카운터를 조사하는 우리가 신경 쓰였는지 작성하던 장부를 덮고 우리를 주시하기 시작했다. 
이안,흠…시선이 느껴지는데…
  ,이거 안되겠는데… 이 상태로는 더 조사하기 힘들 거 같아.
이안,그러게…오늘은 여기까지인가…
  ,그래도 세번째 방문인데 아무것도 안 사가면 의심을 살 거 같으니까 작은 화분이라도 사가자. 
  ,가급적 키우기 쉬운 걸로…
이안,그래. 또 나중에 꽃집을 올 빌미를 만들 수도 있고…
