c2,sc2
  ,  
  ,우리는 소년이 묵고 있는 별장으로 소년과 동행했다.
이안,잠깐 난로 앞에 앉아 있어. 나는 마실 것 좀 가져올게.
  ,나는 잠시 앉아 별장 안을 둘러보았다.
  ,낡고 꽤 먼지가 쌓여 있는 별장이었다.
이안,여기서 계속 살았던 건 아니야.
  ,이안은 나와 노아에게 따뜻한 코코아가 담긴 머그컵을 건네주었다.
이안,나는 원래 그레나다 사람인데 제비딱새를 보기 위해 이곳으로 온 거야.
  ,제비딱새?
이안,아 제비딱새는 날씨가 추워지면 헬겐 쪽으로 날아가는데
이안, 거리상으로 봤을 때 이 숲에서 쉬어갈 가능성이 매우 높더라고...그래서
  ,그렇구나...그럼 이 별장은…
이안,그냥 버려진 별장이야.
이안,원래는 집으로 돌아갈 생각이었는데 운 좋게 묵을 곳이 생겨서 더 있다 가기로 했어.
  ,그렇구나…
이안,물에 빠진 것도 제비딱새를 더 가까이에서 보려다가 발을 헛디뎌서…
이안,후...정말 너희 아니었으면 죽을 뻔했어...정말 고마워.
  ,이안은 그렇게 말하고는 노아를 바라보았다.
이안,너도 무슨 사연이 있구나?
  ,노아는 화들짝 놀라며 소년을 바라보았다.
노아,왜 저를 보고도 놀라시지 않는 거죠?
노아,그리고 어떻게 저를 볼 수 있는 거죠?
노아,저를 볼 수 있는 건 분명 누나뿐이라고 생각했는데…
이안,잠깐 잠깐 진정해.
이안,"하나씩 답하자면, 나는 가끔 너 같이 살아 있지 않은 무언가를 보고는 해."
이안,너처럼 말을 걸 수 있고 코코아를 마시는 애는 처음 봤지만
노아,그럼...저 말고도 더 있나요? 그들은 어디에 있죠?
노아,저는 왜 여기에?
이안,나도 자세히는 몰라.
이안,늘 희미하게 느낄 수 있을 뿐이야.
이안,그들은 정처 없이 돌아다니고는 사라져.
노아,아...
이안,미안해. 나도 더 도와주고 싶지만 정말 아는 건 그것뿐이야.
이안,나같이 볼 수 있는 사람을 만난 것도 처음이고 말이야.
  ,이틀 동안 이상한 인연이 계속 이어지고 있었다.
  ,우리는 장작이 타들어가는 소리를 들으며 이야기를 더 나누었다.
이안,나도 도울게.
이안,근데 나도 뭐부터 시작해야 될지는 모르겠다..
  ,음...노아야 네 주머니에 있던 오르골 잠시 볼 수 있을까?
  ,(오르골 모양 팝업 띄우기)
  ,노아는 코트 주머니에서 오르골을 조심스럽게 꺼내 바닥에 내려놓았다.
이안,이거 작동은 돼?
  ,응. 되더라구.
  ,이안은 오르골의 덮개를 열어 음악이 흐르도록 놔두었다.
  ,(음악소리)
  ,마을에서 이런 물건을 파는 걸 본 적은 없는데...
이안,흠...그래? 와... 이 오르골 크기는 작지만 엄청 정교하게 만들어진 느낌이다...
  ,이 대화를 끝으로 우리는 한참을 아무 말 없이
  ,똑같은 노래구간만을 반복해서 재생하는 오르골을 바라만 보았다.
  ,하지만 우리 중 누구도 이 오르골이 이 사건과 어떤 연관이 있는지
  ,사건을 조사하기 위해 어디부터 시작해야 할 지 뾰족한 수가 떠오르지 않는 눈치였다.
이안,코코아 더 마실래?
  ,이안은 침묵을 깨고 자리에서 일어나며 노아에게서 머그컵을 받았다.
  ,그럼 난 잠시 별장을 둘러볼까?
  ,(탐색)
  ,어 노아 코트에 단추 하나가 없네?
이안,어? 어디?
  ,왼쪽 소매 봐봐
이안,어 그렇네. 그래도 장식용 단추라 다행…
  ,이안은 갑자기 말을 멈추고 노아의 코트를 유심히 보았다.
이안,이 단추...
  ,이안은 갑자기 침대 옆에 위치한 서랍을 열더니 무언가를 가져왔다.
  ,(CG)
  ,(사진찍는 효과)
  ,도움말, 노아 코트 제거
이안,이거 같은 거 맞지...?
이안,아무래도 여기를 더 조사해봐야 할 거 같아
  ,실례할게.
이안,응 신경 쓰지 말고 맘껏 조사해.
  ,우리는 본격적으로 별장을 탐색하기 시작했다.
  ,(탐색)
  ,  플래쉬
  , 팝업
  ,혹시 손목에 밧줄 자국 같은 거 있어?
노아,네? 없을텐데…
  ,노아는 그렇게 말하며 소매를 걷었다.
노아,어? 어째서…
  ,노아의 손목 그리고 확인해보니 발목에까지 피부가 밧줄에 쓸린 자국이 꽤 선명히 남아 있었다.
  ,점점 더 네가 여기 있었다는 게 확실해지는 거 같아…
  ,혹시 더 기억나는 게 있다면 언제든 말해줘.
노아,네 알았어요.
  ,노아에게는 더 말하지 않았지만 내 생각에 노아는 이 별장에서 살해당했을 가능성이 커…
  ,범인은 노아를 살해하기 위해 인적이 드문 숲으로 온 거야.
  ,그러던 중 이 버려진 별장을 발견했고..
  ,숲은 몰라도 버려진 별장에 누군가가 들어올 리는 없지.
  ,게다가 노아가 죽은 곳이 좁고 어두운 곳이라고 했었지…
  ,조금 더 자세히 조사해보자.
  ,(탐색)
  ,저기
이안,응? 뭐라도 알아냈어?
  ,캐비닛을 열어보고 싶은데 안 열려서 말이야. 도와줄 수 있어?
이안,알았어.
이안,녹이 슨 걸까...엄청 뻑뻑하네. 조금만 기다려
  ,캐비닛 안에서 이상한 냄새가 났다.
  ,나와 이안은 캐비닛 안을 자세히 들여다 보았다.
  ,이건...
  ,노아가 보이지 않자 범인은 별장을 뒤지기 시작했다 .
  ,그리고 캐비닛 앞에 다다랐을 때
  ,캐비닛을 열어
  ,망설임 없이 칼을 찔러 넣었다.
노아,아
노아,맞아요...저는 여기서 혼자 죽어갔어요
  ,   
