c4,sc4
  ,  
  ,다음날 나는 친구인 엠버의 집을 방문했다.
엠버,집에 오는 건 오랜만이지? 편하게 둘러봐.
  ,오랜만에 놀러온 엠버의 방은 기억과는 살짝 달라져 있었다.
  ,나는 엠버의 말대로 방을 둘러보기 시작했다. 
  ,무엇을 주제로 얘기해볼까?
  ,엠버가 곧 피아노레슨이 있으니까 대화주제를 신중히 고르자.
  ,30분 정도 남아서 대화 주제를 3번 정도만 바꿀 수 있을 것 같다.
  ,(탐색)
엠버,벌써 시간이 이렇게 됐네. 피아노 레슨 받으러 갈 시간이야. 같이 나갈까?
  ,그래 그러자.
  ,엠버와 짧은 작별인사를 나눈 뒤 나는 릴리 부인의 꽃집으로 발길을 옮겼다.
  ,꽃집으로 향하던 중 길가에 떨어져 있는 한 포스터가 눈에 띄었다.
  ,(실종 포스터 팝업)
  ,포스터는 한 아이의 실종과 관련된 내용을 담고 있었다.
  ,나는 잠시 걸음을 멈추고 실종 포스터를 살펴보았다.
  ,이름이… 아데린? 23일이라… 하필 또 그날이네.
  ,잠시 포스터를 살펴보다 나는 실종 포스터를 챙긴 뒤 릴리 부인의 꽃집으로 향했다. 
릴리,어서오세요.
  ,안녕하세요 릴리 부인.
릴리,어머 우리 구면이죠? 어서와요.
  ,무엇을 주제로 얘기해볼까?
  ,(탐색)
  ,그 동안 잘 지내셨어요?
  ,사실 도서관 행사 날 집에서 키울만한 작은 화분으로 어떤 게 좋을지 물어보고 싶었는데
  ,너무 피곤한 나머지 곧장 집에 가서 쉬었어요.
  ,릴리 부인도 피곤하셨을텐데 그 날도 일하셨나요?
릴리,아니요. 저도 그날은 알바생에게 꽃집을 맡기고 쉬었어요.
릴리,저도 참 체력이 예전 같지가 않아서.…
  ,그 후 릴리부인은 나에게 쉽게 키울 수 있는 화분을 추천해줬고 
  ,나는 조금 고민해보겠다고 말한 뒤 집으로 향했다.
  ,나는 집에 도착해 노아와 이안에게 오늘 있었던 일을 말해준 뒤 잠에 들었다.
