c9,sc9
  ,  
  ,  
  ,하아…하아…아…
  ,끔찍한 악몽에 나의 의식은 잠시 꿈과 현실의 경계를 헤맸다.
  ,어째서? 왜 내가 이런 꿈을? 난…아니야…난 그런 사람이 아니라고…
  ,그때 머리가 깨지는 듯한 두통이 나를 덮쳐 왔다.
  ,더 이상 견딜 수가 없어진 나는 약을 찾기 위해 힘겹게 일어나 서재로 향했다.
  ,
,(배드엔딩 루트)
  ,하지만 약은 원래 놓던 자리에 없었다. 
  ,나는 휘청거리며 온 방을 뒤졌지만 그럼에도 약을 찾을 수 없었다.
  ,방에 둔 게 아니었나? 하아…기억이 안 나…
  ,나는 점점 심각해져 가는 증세에 거실로 나갔다.
  ,거실에는 이안뿐이었다.
이안,일어났네.
  ,나는 답할 여유도 없이 약을 찾기 시작했다.
이안,…
  ,약…약이 없어…혹시 봤어?
이안,약 나한테 있어.
  ,이안이 주머니에서 내 약을 꺼냈다.
  ,하아…다행이다. 그거 좀 빨리…
이안,잦은 기억 상실, 환각 증세, 충동억제가 어렵고 심하면 자아 분열까지…
  ,익숙한 단어들이다. 하지만 이걸 어떻게 이안이…?
이안,왜 숨겼어? 
  ,...그게…말하려고 했는데……나는…그저……돕고 싶어서…
이안,후... 그럼 도서 행사가 있던 날 넌 뭘했지? 그걸 목격한 사람은?
  ,평소와 달리 차갑게 날 추궁하는 이안의 말에 나는 할 말을 잃었다.
  ,…
이안,미안해. 믿으려고 계속 노력해왔지만 너도 알잖아… 
이안,정황들이 너에게…안 좋게 돌아가고 있다는 걸.
이안,이 사건은 우리가 어떻게 할 수 있는 문제가 아니야…
이안,경찰에게 맡기자. 
이안,노아는 걱정하지마. 앞으로는 나 혼자 돌볼게…
  ,  
  ,  
,(노멀 + 해피엔딩 루트)
  ,약을 먹어도 상태는 전혀 나아지지 않았다.
  ,거실에서 달그락거리는 소리가 들리는 걸 보니 노아와 이안은 이미 깬 듯했다.
  ,나는 가디건을 몸에 걸치고 거실로 나갔다. 
이안,잘 잤어? 요즘 몸이 안 좋아 보여서 푹 자라고 안 깨웠어.
  ,응. 고마워…
이안,배고프지? 우리는 먼저 먹었어. 스프 해뒀으니까 데워서 먹어.
  ,나는 빤히 바라보는 노아의 시선을 애써 외면하고 주방으로 향했다. 
  ,노아를 보니 자꾸 그 악몽이 떠올랐다. 
  ,  
노아,누나…? 
  ,쨍그랑
  ,나는 바로 뒤에서 들리는 노아의 목소리에 놀라 들고 있던 접시를 놓쳐버렸고 접시는 큰 소리와 함께 바닥에 부딪혀 산산조각이 났다.
  ,깨진 접시와 놀란 노아.
  ,그 모습을 보자 나를 무너지지 않게 잡고 있던 끈이 내 안의 혼란스러움과 불안감의 무게를 견디지 못하고 끊어졌다.
  ,힘이 풀린 나는 바닥에 쓰러지듯 주저 앉았다.
  ,둘 다 괜찮아?
  ,거실에서 난 소리에 놀란 이안이 서둘러 주방으로 뛰어 왔다.
  ,미안해…나 더 이상은…
노아,누나…
이안,아무래도 조금 더 휴식이 필요한 것 같아. 잠시 소파에 앉아서 쉬는 게 좋겠어. 
  ,이안은 주저 앉은 나를 부축해 조심스럽게 소파까지 데려다 준 뒤 산산조각 난 접시 조각들을 치웠다.
노아,제가 새 접시에 수프를 가져 올게요!
이안,나는 몸을 따뜻하게 할 수 있는 담요라도 가져올게. 그동안 잠시 소파에 몸을 기대고 있어.
  ,고마워… 나도 내가 왜 이러는지 모르겠어…
이안,너무 신경 쓰지 마. 요즘 너무 무리했나 봐.
  ,이안은 나를 걱정하는 눈으로 바라보다 담요를 챙기러 방으로 들어갔다. 
이안,담요가… 아 여기 있다.
  ,이안은 담요를 챙기고 방을 나서던 중 문득 떠오른 생각에 잠시 걸음을 멈췄다.
이안,얼마 전에 약 봉지 같은 걸 챙겨왔던 것 같은데…
이안,그 약을 찾아서 가져다 줘야겠어. 
  ,(탐색 시작)
이안,찾았다…! 이거 저번에 처방 받은 약 아니야?  
  ,약봉지를 손에 든 이안을 보면서 나도 모르게 몸이 떨려오기 시작했다. 
  ,아.. 그게 말이지.. 사실은 말이야…
  ,나는 어떤 말을 꺼내야 할지 혼란스러워 말을 쉽게 이어나가지 못했다.
이안,음 아니네? 이건 23일 오후에 받아온 약이잖아. 거의 손도 안댄 것 같고.
  ,예상과 다른 이안의 말에 나는 고개를 들고 이안의 손에 있는 약봉지에 눈을 돌렸다.
  ,어? 23일…? 내가 그 날 병원에 갔던가?
이안,여기 봐봐. 약봉지 위에 23일이라고 날짜가 적혀 있잖아. 
이안,이전부터 계속 몸이 안 좋았다고 말하지 그랬어. 
  ,이안이 건네준 약봉지 위에는 정확하게 10월 23일이라는 처방 날짜가 기록되어 있었다.
  ,23일… 내가 그날 병원에 갔던 거라면 나는…
  ,순간 안도감이 느껴지고 몸에 있던 긴장이 풀리면서 몸이 휘청거렸다.
이안,괜찮아? 
  ,어느새 내 옆에 와 있던 노아도 나를 걱정스러운 눈빛으로 쳐다보았다.
  ,응… 정말 괜찮아 덕분에.
이안,요즘 계속 컨디션이 안 좋아 보여서 걱정 많이 했어. 
이안,최근에 별장 다녀온 뒤로 더 나빠진 것 같기도 했고. 
  ,사실 요즘 계속 악몽을 꿨거든…  그것 때문에 계속 잠을 못 자서 많이 피곤했던 것 같아. 
  ,노아는 아무 말 없이 내 손을 작은 두 손으로 꼭 잡았다.
  ,그러자 지금까지 느껴온 불안감과 혼란스러움이 모두 사라지는 듯한 기분이 들었다.
  ,그렇게 안도감을 느끼고 복잡했던 생각들이 하나씩 정리되기 시작했다.
  ,  
